ticker,n_trades,n_years,win_rate,win_rate_target,win_rate_target_robust,pct_exit_take,pct_exit_stop,pct_exit_time,ret_total,ret_ann_pct,bh_ann_pct,alpha_ann_pp,mdd_pct,sharpe,big_wins_pct,big_losses_pct,wr_non_target_pp,wr_non_target_robust_pp
RCRB11.SA,24,26.8,66.67,66.67,66.67,66.67,33.33,0.0,0.1875,0.64,0.02,0.63,12.88,0.298,0.0,8.33,0.0,0.0
IRIM11.SA,92,26.8,66.3,73.91,73.91,73.91,26.09,0.0,0.0977,0.35,-0.1,0.44,8.15,-0.033,0.0,6.52,-7.609999999999999,-7.609999999999999
RADL3.SA,169,26.8,66.27,63.91,63.91,63.91,36.09,0.0,1.2601,3.09,23.8,-20.71,12.82,0.283,1.78,23.08,2.3599999999999994,2.3599999999999994
LVBI11.SA,124,26.8,66.13,68.55,68.55,68.55,31.45,0.0,0.0392,0.14,2.17,-2.02,13.05,-0.134,0.0,11.29,-2.4200000000000017,-2.4200000000000017
BEEF3.SA,50,26.8,66.0,42.0,42.0,42.0,58.0,0.0,1.1353,2.87,-4.26,7.13,12.93,0.415,24.0,30.0,24.0,24.0
SANB11.SA,81,26.8,65.43,64.2,64.2,64.2,35.8,0.0,0.0624,0.23,5.31,-5.09,15.29,-0.088,0.0,28.4,1.230000000000004,1.230000000000004
TAEE11.SA,103,26.8,65.05,70.87,70.87,70.87,29.13,0.0,0.7671,2.15,11.71,-9.56,14.54,0.289,1.94,14.56,-5.820000000000007,-5.820000000000007
ABCB4.SA,125,26.8,64.8,62.4,62.4,62.4,37.6,0.0,0.6755,1.94,7.45,-5.51,12.11,0.155,2.4,25.6,2.3999999999999986,2.3999999999999986
BBAS3.SA,62,26.8,64.52,54.84,54.84,54.84,45.16,0.0,0.2865,0.94,10.14,-9.19,12.13,0.105,3.23,30.65,9.679999999999993,9.679999999999993
LTC-USD,31,26.8,64.52,41.94,41.94,41.94,58.06,0.0,1.3494,3.24,7.98,-4.74,13.99,0.316,19.35,32.26,22.58,22.58
EQTL3.SA,118,26.8,64.41,61.86,61.86,61.86,38.14,0.0,0.2981,0.98,11.67,-10.69,14.27,0.053,0.85,22.88,2.549999999999997,2.549999999999997
ISAE4.SA,132,26.8,64.39,61.36,61.36,61.36,38.64,0.0,0.274,0.91,26.71,-25.8,13.26,0.036,2.27,21.97,3.030000000000001,3.030000000000001
HFOF11.SA,143,26.8,64.34,73.43,73.43,73.43,26.57,0.0,0.1276,0.45,0.17,0.28,8.6,0.007,0.0,2.1,-9.090000000000003,-9.090000000000003
ASAI3.SA,70,26.8,64.29,64.29,64.29,64.29,35.71,0.0,0.1983,0.68,-1.47,2.14,12.7,0.055,0.0,24.29,0.0,0.0
XPML11.SA,106,26.8,64.15,72.64,72.64,72.64,27.36,0.0,0.0209,0.08,1.32,-1.25,12.66,-0.146,0.0,3.77,-8.489999999999995,-8.489999999999995
BRSR6.SA,39,26.8,64.1,53.85,53.85,53.85,46.15,0.0,0.4752,1.46,6.13,-4.66,12.59,0.17,5.13,33.33,10.249999999999993,10.249999999999993
