Date,ticker,close,signal_eod,score_100,confidence,best_buy_value,stop_loss,stop_pct,take_profit,take_pct,exit_rules,Channel Breakout_last5d,Channel Breakout_last20d,Double Top/Bottom_last5d,Double Top/Bottom_last20d,Head & Shoulders_last5d,Head & Shoulders_last20d,Triangle Breakout_last5d,Triangle Breakout_last20d,Wedge Breakout_last5d,Wedge Breakout_last20d,RSI_status,SMA_Cross_last5d
2026-03-17,CXSE3.SA,18.34,buy,70.8,48.7,18.1383,17.2169,5.08,19.0597,5.08,"Stop: -5.1% (2.0xATR, breakeven); Take: +5.1% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(2d),BULL(7d),---,MIXED(B1/S2),---,MIXED(B1/S1),BULL(1d),BULL(9d),BULL(2d),BULL(7d),NEUTRAL(53),SMA20x50:DEATH
2026-03-17,PRIO3.SA,62.69,buy,76.8,47.4,61.3781,55.4024,9.74,67.3538,9.74,"Stop: -9.7% (2.0xATR, breakeven); Take: +9.7% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(1d),MIXED(B3/S1),---,---,---,---,BULL(3d),MIXED(B11/S1),BULL(1d),MIXED(B6/S1),OVERBOUGHT(79),---
2026-03-17,ABCB4.SA,26.01,buy,67.3,47.1,25.649,24.039,6.28,27.259,6.28,"Stop: -6.3% (2.0xATR, breakeven); Take: +6.3% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(2d),BULL(5d),---,MIXED(B1/S2),---,MIXED(B1/S1),BULL(1d),BULL(5d),BULL(2d),BULL(5d),NEUTRAL(42),---
2026-03-17,ITSA4.SA,13.39,buy,44.0,45.9,13.2013,12.3627,6.35,14.0399,6.35,"Stop: -6.3% (2.0xATR, breakeven); Take: +6.3% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(2d),BULL(5d),BEAR(1d),MIXED(B2/S3),---,MIXED(B1/S1),BULL(2d),BULL(6d),BULL(2d),BULL(5d),NEUTRAL(41),---
2026-03-17,ISAE4.SA,28.22,buy,70.4,44.6,27.8912,26.4083,5.32,29.3741,5.32,"Stop: -5.3% (2.0xATR, breakeven); Take: +5.3% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(3d),BULL(7d),---,MIXED(B2/S1),---,BULL(2d),BULL(2d),BULL(8d),BULL(3d),BULL(7d),NEUTRAL(48),---
2026-03-17,XPBR31.SA,98.86,buy,55.8,44.4,96.4461,85.6661,11.18,107.2261,11.18,"Stop: -11.2% (2.0xATR, breakeven); Take: +11.2% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(2d),BULL(2d),---,---,---,---,BULL(1d),BULL(6d),BULL(2d),BULL(4d),NEUTRAL(40),SMA20x50:DEATH
2026-03-17,VISC11.SA,110.1,buy,53.6,38.6,109.5622,107.1493,2.2,111.9751,2.2,"Stop: -2.2% (2.0xATR, breakeven); Take: +2.2% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,BULL(6d),BULL(1d),BULL(3d),---,BULL(2d),BULL(2d),BULL(7d),---,BULL(6d),NEUTRAL(43),---
2026-03-17,ITUB4.SA,42.71,buy,45.8,37.8,42.1299,39.5399,6.15,44.7199,6.15,"Stop: -6.2% (2.0xATR, breakeven); Take: +6.2% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(2d),BULL(4d),---,BULL(2d),---,BULL(1d),BULL(1d),BULL(5d),BULL(2d),BULL(4d),NEUTRAL(33),---
2026-03-17,MGLU3.SA,9.04,buy,66.1,36.7,8.7846,7.6389,13.04,9.9303,13.04,"Stop: -13.0% (2.0xATR, breakeven); Take: +13.0% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,BULL(1d),---,BEAR(1d),---,MIXED(B2/S2),BULL(1d),BULL(5d),---,BULL(5d),NEUTRAL(39),SMA5x20:DEATH
2026-03-17,SANB11.SA,30.1,hold,1.6,89.2,29.6849,28.05,6.81,32.15,6.81,"Stop: -6.8% (2.0xATR, breakeven); Take: +6.8% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(1d),BULL(4d),---,MIXED(B1/S1),---,BULL(1d),BULL(1d),BULL(5d),BULL(1d),BULL(4d),OVERSOLD(28),---
2026-03-17,MBRF3.SA,16.62,hold,1.0,83.3,16.3046,15.0657,9.35,18.1743,9.35,"Stop: -9.3% (2.0xATR, breakeven); Take: +9.3% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(1d),BULL(2d),---,BULL(1d),---,BULL(1d),BULL(1d),MIXED(B3/S1),BULL(1d),BULL(2d),NEUTRAL(35),---
2026-03-17,CSAN3.SA,5.22,hold,14.3,82.4,5.0771,4.5329,13.16,5.9071,13.16,"Stop: -13.2% (2.0xATR, breakeven); Take: +13.2% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,---,---,BULL(1d),---,MIXED(B1/S1),BULL(1d),BULL(4d),---,BULL(2d),NEUTRAL(32),SMA20x50:DEATH
2026-03-17,UNIP6.SA,66.83,hold,10.5,80.6,65.9292,62.5586,6.39,71.1014,6.39,"Stop: -6.4% (2.0xATR, breakeven); Take: +6.4% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,MIXED(B1/S1),---,---,---,BULL(1d),BULL(2d),MIXED(B5/S1),---,MIXED(B1/S1),OVERSOLD(30),---
2026-03-17,SUZB3.SA,53.11,hold,18.7,80.2,52.5451,50.3686,5.16,55.8514,5.16,"Stop: -5.2% (2.0xATR, breakeven); Take: +5.2% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,---,---,MIXED(B1/S1),---,---,---,BULL(2d),---,---,OVERSOLD(29),---
2026-03-17,RCRB11.SA,141.87,hold,18.5,74.4,140.8882,137.2257,3.27,146.5143,3.27,"Stop: -3.3% (2.0xATR, breakeven); Take: +3.3% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,BULL(5d),---,MIXED(B1/S1),---,MIXED(B1/S1),MIXED(B2/S1),MIXED(B9/S1),---,BULL(5d),NEUTRAL(56),SMA5x20:GOLDEN
