Date,ticker,signal,rank,confidence,close,entrada,stop,alvo,RR,stop_pct,alvo_pct,win_rate,regime
2026-03-26,ODPV3.SA,buy,80.0,66.8,13.4,13.18,12.74,16.475,7.5,3.34,25.0,67.5,favoravel
2026-03-26,NEOE3.SA,buy,78.8,75.0,33.29,33.2479,32.5829,35.8902,4.0,2.0,7.95,68.3,favoravel
2026-03-26,UGPA3.SA,buy,76.6,77.7,28.54,28.0754,27.1461,31.0948,3.2,3.31,10.75,64.2,favoravel
2026-03-26,PRIO3.SA,buy,75.9,78.8,68.76,67.1693,63.9879,75.8002,2.7,4.74,12.85,66.4,favoravel
2026-03-26,VIVT3.SA,buy,75.6,66.1,40.16,39.6154,38.5261,43.47,3.5,2.75,9.73,61.7,favoravel
2026-03-26,KNRI11.SA,buy,75.4,82.4,165.56,164.7564,161.4613,171.7023,2.1,2.0,4.22,71.6,favoravel
2026-03-26,AXIA6.SA,buy,75.0,67.3,62.3,61.1286,58.7857,68.37,3.1,3.83,11.85,62.4,favoravel
2026-03-26,RADL3.SA,buy,74.5,71.8,23.76,23.3368,22.4904,25.94,3.1,3.63,11.15,60.3,favoravel
2026-03-26,BPAC11.SA,buy,74.2,68.5,55.2,54.07,51.81,62.25,3.6,4.18,15.13,67.1,favoravel
2026-03-26,USIM5.SA,buy,72.3,71.9,6.68,6.5454,6.2761,7.13,2.2,4.11,8.93,66.7,favoravel
2026-03-26,MULT3.SA,buy,72.2,61.0,30.79,30.2461,29.1582,35.7,5.0,3.6,18.03,66.8,favoravel
2026-03-26,ABEV3.SA,buy,72.0,63.3,14.83,14.6529,14.2986,16.52,5.3,2.42,12.74,62.9,favoravel
2026-03-26,HFOF11.SA,buy,71.4,61.8,6.78,6.76,6.6248,7.11,2.6,2.0,5.18,70.6,favoravel
2026-03-26,VBBR3.SA,buy,70.9,73.0,31.44,30.7989,29.5168,33.8184,2.4,4.16,9.8,60.0,favoravel
2026-03-26,VISC11.SA,buy,70.7,67.0,110.07,109.6443,107.4514,113.5,1.8,2.0,3.52,68.9,favoravel
2026-03-26,KLBN11.SA,buy,70.3,61.6,19.26,19.0346,18.5839,20.9,4.1,2.37,9.8,67.8,favoravel
2026-03-26,BRKM5.SA,buy,70.0,61.3,10.15,9.7179,8.8536,12.1474,2.8,8.89,25.0,65.6,favoravel
